"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS ADP"
"78",8,"Kevin Winston Jr.",TEN,"S14","22","64","66","65.0","1.0","-"
"79",8,"Frankie Luvu",WAS,"LB42","29","27","27","27.0","0.0","-"
"80",8,"Joshua Metellus",MIN,"S15","28","56","75","65.5","9.5","-"
"81",8,"Jalon Walker",ATL,"LB43","22","28","28","28.0","0.0","-"
"82",8,"Alex Highsmith",PIT,"LB44","28","29","29","29.0","0.0","-"
"83",8,"Josiah Trotter",TB,"LB45","21","29","29","29.0","0.0","-"
"84",8,"Montez Sweat",CHI,"DE16","29","42","91","66.5","24.5","-"
"85",8,"Kaleb Elarms-Orr",BUF,"LB46","22","30","30","30.0","0.0","-"
"86",8,"Nick Cross",WAS,"S16","24","44","90","67.0","23.0","-"
"87",8,"Josh Hines-Allen",JAC,"DE17","29","32","32","32.0","0.0","-"
"88",8,"Tyrel Dodson",MIA,"LB47","28","66","70","68.0","2.0","-"
"89",8,"Will McDonald IV",NYJ,"DE18","27","33","33","33.0","0.0","-"
"90",9,"Jaquan Brisker",PIT,"S17","27","65","73","69.0","4.0","-"
"91",9,"Jermaine Johnson II",TEN,"DE19","27","35","35","35.0","0.0","-"
"92",9,"Anthony Hill Jr.",TEN,"LB48","21","36","36","36.0","0.0","-"
"93",9,"Kam Curl",LAR,"S18","27","45","95","70.0","25.0","-"
"94",9,"Danielle Hunter",HOU,"DE20","31","37","37","37.0","0.0","-"
"95",9,"Malaki Starks",BAL,"S19","22","69","72","70.5","1.5","-"
"96",9,"Kaden Elliss",NO,"LB49","31","38","38","38.0","0.0","-"
"97",9,"Jordan Battle",CIN,"S20","25","60","82","71.0","11.0","-"
"98",9,"Jake Golday",MIN,"LB50","23","40","40","40.0","0.0","-"
"99",9,"Chris Jones",KC,"DT9","32","43","101","72.0","29.0","-"
"100",9,"Derrick Brown",CAR,"DT10","28","56","88","72.0","16.0","-"
"101",9,"DeShon Elliott",PIT,"S21","29","63","81","72.0","9.0","-"
"102",9,"Mike Green",BAL,"LB51","22","44","44","44.0","0.0","-"
"103",9,"Nnamdi Madubuike",BAL,"DT11","28","45","45","45.0","0.0","-"
"104",9,"Jeremy Chinn",LV,"S22","28","68","106","85.7","15.6","-"
"105",9,"Braden Fiske",LAR,"DT12","26","48","48","48.0","0.0","-"
"106",9,"Caleb Downs",DAL,"S23","21","48","48","48.0","0.0","-"
"107",9,"Dallas Turner",MIN,"DE21","23","50","50","50.0","0.0","-"
"108",9,"Dillon Thieneman",CHI,"S24","21","50","50","50.0","0.0","-"
"109",9,"Chop Robinson",MIA,"DE22","23","51","51","51.0","0.0","-"
"110",9,"Tuli Tuipulotu",LAC,"DE23","23","52","52","52.0","0.0","-"
"111",9,"Ed Oliver",BUF,"DT13","28","69","87","78.0","9.0","-"
"112",9,"Christian Wilkins",FA,"DT14","30","53","53","53.0","0.0","-"
"113",9,"Jaelan Phillips",CAR,"DE24","27","54","54","54.0","0.0","-"
"114",9,"AJ Haulcy",IND,"S25","22","54","54","54.0","0.0","-"
"115",10,"Carl Granderson",NO,"DE25","29","57","57","57.0","0.0","-"
"116",10,"Malachi Moore",NYJ,"CB1","24","57","57","57.0","0.0","-"
"117",10,"Mason Graham",CLE,"DT15","22","69","92","80.5","11.5","-"
